name,mianji,price,payment,house_gaikuo,house_type,cenggao,chaoxiang,zhuangxiuzhuangkuang,renting_type,fangyuanbianhao,update_time
西锦国际,"
                            72.43㎡", 2300,[面议],"住宅
                        
                        ","
                        2室1厅1卫
                        
                        ","(低层)/共25层
                        
                        ","西北
                        
                        ","精装修
                        
                    ","
                    整租",179085606,"2017,4,4,12:38:08"
汇融新贵公馆,"
                            70㎡", 2200,[押一付三],"住宅
                        
                        ","
                        2室1厅1卫
                        
                        ","(低层)/共8层
                        
                        ","西南
                        
                        ","中装修
                        
                    ","
                    整租",179443414,"2017,4,4,12:38:06"
邑品天都,"
                            54㎡", 1200,[押一付三],"住宅
                        
                        ","
                        2室1厅1卫
                        
                        ","(中层)/共22层
                        
                        ","南
                        
                        ","简装修
                        
                    ","
                    整租",180202691,"2017,4,4,12:38:06"
西藏阳光苑,"
                            138.67㎡", 3000,[面议],"住宅
                        
                        ","
                        3室2厅2卫
                        
                        ","(中层)/共7层
                        
                        ","南
                        
                        ","精装修
                        
                    ","
                    整租",179215004,"2017,4,4,12:38:03"
都会路苑,"
                            86㎡", 2500,[押一付三],"住宅
                        
                        ","
                        2室2厅1卫
                        
                        ","(高层)/共18层
                        
                        ","南
                        
                        ","精装修
                        
                    ","
                    整租",177627341,"2017,4,4,12:37:16"
锦西国际,"
                            31㎡", 1400,[押一付三],"住宅
                        
                        ","
                        1室1厅1卫
                        
                        ","(中层)/共22层
                        
                        ","南
                        
                        ","简装修
                        
                    ","
                    整租",178851538,"2017,4,4,12:38:07"
金科一城,"
                            70㎡", 1700,[押一付三],"住宅
                        
                        ","
                        2室2厅1卫
                        
                        ","(中层)/共18层
                        
                        ","南
                        
                        ","精装修
                        
                    ","
                    整租",179635653,"2017,4,4,12:36:38"
绿地之窗,"
                            78㎡", 2600,[押一付三],"住宅
                        
                        ","
                        2室1厅1卫
                        
                        ","(高层)/共32层
                        
                        ","南
                        
                        ","简装修
                        
                    ","
                    整租",180242443,"2017,4,4,12:36:37"
建发天府鹭洲,"
                            108㎡", 7000,[押一付三],"住宅
                        
                        ","
                        3室2厅2卫
                        
                        ","(高层)/共29层
                        
                        ","南
                        
                        ","简装修
                        
                    ","
                    整租",179771701,"2017,4,4,12:36:38"
中建桐梓林壹号,"
                            141㎡", 6800,[押一付三],"住宅
                        
                        ","
                        3室2厅2卫
                        
                        ","(中层)/共32层
                        
                        ","南
                        
                        ","豪华装修
                        
                    ","
                    整租",177812931,"2017,4,4,12:36:26"
望江锦园,"
                            73㎡", 2400,[面议],"住宅
                        
                        ","
                        2室2厅1卫
                        
                        ","(高层)/共39层
                        
                        ","南
                        
                        ","精装修
                        
                    ","
                    整租",179893984,"2017,4,4,12:35:43"
英祥财富领域,"
                            89㎡", 4600,[押一付三],"住宅
                        
                        ","
                        2室2厅1卫
                        
                        ","(中层)/共32层
                        
                        ","南
                        
                        ","豪华装修
                        
                    ","
                    整租",179825345,"2017,4,4,12:36:26"
中航国际交流中心,"
                            77㎡", 3800,[押一付一],"住宅
                        
                        ","
                        2室2厅1卫
                        
                        ","(中层)/共31层
                        
                        ","南
                        
                        ","精装修
                        
                    ","
                    整租",179991026,"2017,4,4,12:35:04"
南城都汇四期,"
                            89㎡", 3000,[押一付三],"住宅
                        
                        ","
                        2室2厅2卫
                        
                        ","(低层)/共18层
                        
                        ","南
                        
                        ","精装修
                        
                    ","
                    整租",180217182,"2017,4,4,12:35:43"
上行汇锦,"
                            78.4㎡", 3000,[面议],"住宅
                        
                        ","
                        2室1厅1卫
                        
                        ","(低层)/共34层
                        
                        ","西
                        
                        ","精装修
                        
                    ","
                    整租",180534711,"2017,4,4,12:34:15"
朗御,"
                            89㎡", 6500,[面议],"住宅
                        
                        ","
                        1室1厅1卫
                        
                        ","(低层)/共51层
                        
                        ","西南
                        
                        ","精装修
                        
                    ","
                    整租",180527782,"2017,4,4,12:34:15"
阳光新业中心,"
                            95㎡", 6000,[年付],"住宅
                        
                        ","
                        2室2厅1卫
                        
                        ","(低层)/共44层
                        
                        ","西北
                        
                        ","精装修
                        
                    ","
                    整租",180534628,"2017,4,4,12:34:15"
星城银座,"
                            51.83㎡", 1500,[面议],"住宅
                        
                        ","
                        1室1厅1卫
                        
                        ","(高层)/共11层
                        
                        ","西
                        
                        ","精装修
                        
                    ","
                    整租",180527732,"2017,4,4,12:34:15"
SOHO我的寓所,"
                            37㎡", 1900,[面议],"住宅
                        
                        ","
                        1室1厅1卫
                        
                        ","(中层)/共16层
                        
                        ","西北
                        
                        ","精装修
                        
                    ","
                    整租",180527714,"2017,4,4,12:34:15"
