name,house_id,location,xiaoqu_address,huanxianweizhi,xiangmutese,youbian,chanquan,kaifashang,jianzhu_type,jianzhu_mianji,jianzhu_jiegou,zhandi_mianji,dangqihu_shu,loudong_shu,zonghu_shu,lvhua_lv,rongji_lv,wuye_gongsi,wuye_fee,wuye_phone,wuye_type,wuye_address,gps_x,gps_y,built_time
雄飞新园紫郡小区网,xinyuanzijunxf,高新区 市一医院,高新区新园大道8号（三和广本后）,：三至绕城,经济住宅 ,610094,住宅产权70年,"科成集团公司 , 金诚物流公司",板塔结合 小高层,104349平方米,,23209平方米,784户,11栋,784户,30.50%,3.00,成都蜀信物业服务有限公司,2.18元/平方米·月,,住宅,,104.04643249511719,30.600507736206055,2015-01-01
中海城南华府小区网,chengnanhuafuzh,高新区 金融城,高新区成汉南路266号,：三至绕城,"豪华居住区,国际化社区",610094,住宅产权70年,中海振兴（成都）物业发展有限公司,板塔结合 高层,240000平方米,框剪,90000平方米,400户,9栋,1609户,30%,3.00,成都中海物业管理有限公司,3.45元/平米·月,,住宅,,104.05975341796875,30.586488723754883,2014-06-01
光明城市小区网,guangmingchengshi028,天府新区 华阳,天府新区华府大道一段996号,：绕城以外,"地铁沿线 ,打折优惠楼盘",610203,住宅产权70年,,板塔结合 高层,550000平方米,,100002平方米,980户,13栋,1283户,37%,5.50,1.60元/平米·月,1.60元/平米·月,,住宅,,104.05287170410156,30.532806396484375,2015-12-01
新景鼎南川宇,dingnanchuanyuxj,高新区 高新区,高新区地铁6号线中和站·中和中柏大道（...,：绕城以外,,610212,"新景鼎南川宇普通住宅产权为70年,SOHO产...",四川新景实业有限公司,板楼 高层 超高层,137736平方米,,19474平方米,890户,2018-05-01,890户,30%,2.49,地铁6号线中和站·中和...,2.18元/㎡·月,,住宅,,104.10513305664062,30.56183433532715,2018-05-01
中德英伦世邦,yinglunshibangzd,天府新区 华阳,高新区会龙大道与红星路南延线交汇处（...,：绕城以外,品牌地产,610213,中德英伦世邦普通住宅产权为70年,成都中德红谷投资有限公司,塔楼 高层,215000平方米,,76666平方米,1791户,8栋,1791户,55%,4.00,成都衡信英伦物业管理有限公司,2.50元/㎡·月,,住宅,,104.08692169189453,30.530603408813477,2017-12-31
威兰德小镇,weilandexiaozhen,双流 双流城区,双流双楠大道与白河路交叉口（双流新党...,：绕城以外,"小户型,地铁沿线,低密居所,景观居所,教...",610000,威兰德小镇普通住宅产权为70年,成都新时代天诚置业有限公司,塔楼 小高层,586259平方米,,132015平方米,,2栋,2636户,23%,3.30,成都代兴物业管理有限公司,2.00元/㎡·月,,住宅,,103.89281463623047,30.5755615234375,2016-06-01
御源大湖区小区网,dahuquyy,龙泉 龙泉驿,龙泉驿都大道中路900号,：绕城以外,"小户型,宜居生态地产,打折优惠楼盘",610100,住宅产权70年,成都御源置业有限公司,板塔结合 多层 小高层 高层,600000平方米,框剪,333335平方米,87户,60栋,2300户,47%,1.33,四川润无声物业管理有限公司,1.20元/平米·月,,住宅,,104.23888397216797,30.576671600341797,2012-07-01
时代豪庭小区网,shidaihaoting028,锦江 东大街,锦江芷泉街段188号（兰桂坊旁）,：一环以内,"水景地产,地铁沿线,打折优惠楼盘",610011,70年产权,龙茂房地产开发（成都）有限公司,板楼 超高层,249000平方米,框架剪力墙,70667平方米,474户,4栋,1049户,33%,4.00,成都天府时代广场物业管理有限公司,3.00元/平米·月,028-84467533,住宅,时代豪庭3号楼B1,104.09522247314453,30.652545928955078,2010-05-30
桐梓林欧城小区网,ouchengtzl,武侯 桐梓林,武侯桐梓林南路7号,：二至中环,宜居生态地产 ,610042,70年,四川鑫澜房地产开发有限责任公司,板楼 小高层,216767平方米,框架,45911平方米,1492户,10栋,1492户,30%,3.91,1.80元/平米·月,1.80元/平米·月,85924666,住宅,7栋一单元1楼,104.06815338134766,30.616825103759766,2009-04-01
水岸汇景小区网,shuianhuijing,金牛 营门口,金牛金房苑横街106号,：二至中环,"水景地产,宜居生态地产,打折优惠楼盘",610031,住宅产权70年，商业产权40年,成都顶峰房地产开发有限公司,塔楼 高层,665718平方米,,138745平方米,1040户,12栋,4600户,48%,4.00,深长城物业管理公司成都分公司,2.50元/平米·月,02882006655,住宅,大门入口左边,104.04281616210938,30.701873779296875,2016-10-01
